Id,Name,Name (Bangla),Code,Agency,Type,Division,District,City Corporation,Upazila,Paurasava,Union,Private
1,Dhaka Divisional Health Office,"পরিচালক (স্বাস্থ্য) এর কার্যালয়, ঢাকা বিভাগ, ঢাকা",10000001,DGHS,Divisional Level Office,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,,,0
2,Directorate General of Health Services (DGHS),"স্বাস্থ্য অধিদপ্তর, মহাখালী",10000002,DGHS,Directorate General or Directorate,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
3,"Institute of Epidemiology, Disease Control & Research (IEDCR)","রোগতত্ব, রোগ নিয়ন্ত্রন ও গবেষণা ইনষ্টিটিউট ( আইইডিসিআর)",10000003,DGHS,Public Health Institution,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
4,Institute of Public Health (IPH),জনস্বাস্থ্য  ইনস্টিটিউট,10000004,DGHS,Public Health Institution,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
5,Institute Of Public Health Nutrition (IPHN),জনস্বাস্থ্য পুষ্টি প্রতিষ্ঠান,10000005,DGHS,Public Health Institution,Dhaka,Dhaka,,,,,0
6,National Institute Of Cancer Research And Hospital (NICR&H),"জাতীয় ক্যান্সার গবেষণা  ইনস্টিটিউট ও হাসপাতাল, মহাখালী, ঢাকা- ১২১২",10000006,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
7,National Institute Of Cardiovascular Disease (NICVD),জাতীয় হৃদরোগ  ইনস্টিটিউট,10000007,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
8,National Institute of Diseases of the Chest & Hospital (NIDCH),জাতীয় বক্ষব্যাধি ইনস্টিটিউট ও হাসপাতাল (এনআইডিসিএইচ)।,10000008,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
9,National Institute of Kidney Disease and Urology (NIKDU),জাতীয় কিডনি ডিজিজেজ এন্ড ইউরোলজী ইনস্টিটিউট,10000009,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
10,National Institute Of Mental Health (NIMH),ন্যাশনাল ইনসস্টিউট অব মেণ্টাল হেলথ,10000010,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
11,National Institute Of Ophthalmology (NIO),জাতীয় চক্ষু বিজ্ঞান ইনষ্টিটিউট ও হাসপাতাল,10000011,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,,,0
12,National Institute of Preventive and Social Medicine (NIPSOM),জাতীয় প্রতিষেধক ও সামাজিক চিকিৎসা প্রতিষ্ঠান (নিপসম),10000012,DGHS,Public Health Institution,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
13,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),জাতীয় অর্থোপেডিক হাসপাতাল ও পুনর্বাসন প্রতিষ্ঠান (নিটোর),10000013,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
14,National Center For Control Of Rheumatic Fever & Heart Disease,জাতীয় বাতজ্বর ও হৃদরোগ নিয়ন্ত্রণ কেন্দ্র,10000014,DGHS,Specialized Health Center,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,,,0
15,A. G. B. Urban Dispensary,এ জি বি আরবান ডিসপেনসারি,10000015,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Paltan,,,0
16,Armanitola School Health Clinic,আরমানিটোলা স্কুল হেলথ ক্লিনিক,10000016,DGHS,School Health Clinic,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,,,0
17,Azimpur School Health Clinic,আজিমপুর স্কুল হেলথ ক্লিনিক,10000017,DGHS,School Health Clinic,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,,,0
18,B. G. Press Urban Dispensary,বিজি প্রেস আরবান ডিসপেনসারি,10000018,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,,,0
19,Banga Bhaban Urban Dispensary,বঙ্গভবন আরবান ডিসপেনসারি,10000019,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,,,0
20,Bangladesh Secretariat Clinic,বাংলাদেশ সচিবালয় ক্লিনিক,10000020,DGHS,Other Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Paltan,,,0
21,Chattogram Airport Health Office,চট্টগ্রাম বিমানবন্দর স্বাস্থ্য অফিস,10000022,DGHS,Port Health Office,Chattogram,Chattogram,Chattogram City Corporation,Chittogram Port,,,0
22,National Asthma Center,"জাতীয় অ্যাজমা সেন্টার, জাতীয় বক্ষব্যাধি ইনস্টিটিউট ও হাসপাতাল, মহাখালী, ঢাকা",10000024,DGHS,Specialized Health Center,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
23,Dhaka Civil Surgeon Office,ঢাকা সিভিল সার্জন অফিস,10000025,DGHS,District Level Office,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,,,0
24,Center For Medical Education,সেন্টার ফর মেডিকেল এডুকেশন,10000026,DGHS,Public Health Institution,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,,,0
25,Dhaka Dental College,ঢাকা ডেন্টাল কলেজ,10000027,DGHS,Dental College,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,,,0
26,Dhaka Dental College Hospital,ঢাকা ডেন্টাল কলেজ হাসপাতাল,10000028,DGHS,Dental College Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,,,0
27,Govt. Homeopathic Medical College,সরকারী হোমিওপ্যাথিক মেডিকেল কলেজ,10000029,DGHS,College of Alternative Medicine,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,,,0
